SAMPLE,SITE,SUBSITE,DATE,SEASON,GPS,PLAYBACK,START TIME,SPECIES,GROUP SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER ALARM,ALARMS/GS,MOBS,CALLS/GS,TOTAL VOCALIZATIONS,TOTAL/GS,DISTANCE (m),HEIGHT (m),HYPOTENUSE,LATENCY ALARM (s),NOTES
45,ISLAND,FIELD,07/26/2025,SUMMER,"33°59'47""N, 119°43'30""W",--,1824,ISSJ,3,HAWK,YES,YES,NO,YES,15,5.000,0,0.000,15,5.000,15.9,0,15.90,1.051,3 birds alarming
70,ISLAND,FIELD,07/26/2025,SUMMER,"33°59'46""N, 119°43'16""W",--,1407,ISSJ,1,CONTROL,NO,NO,NO,YES,0,0.000,0,0.000,0,0.000,15.7,2,15.83,-,no alarm vocalizations
87,ISLAND,FIELD,07/28/2025,SUMMER,"33°59'47""N, 119°43'19""W",--,639,ISSJ,2,HAWK,YES,YES,NO,YES,3,1.500,0,0.000,3,1.500,18,2,18.11,1.081,
19,MAINLAND,FOER,07/08/2025,SUMMER,"36°40'54""N, 121°46'24""W",--,1349,CASJ,2,HAWK,YES,YES,YES,YES,7,3.500,18,9.000,25,12.500,9.9,4,10.68,0.766,INTEREST = MOB
20,MAINLAND,FOER,07/09/2025,SUMMER,"36°41'14""N, 121°47'8""W",--,703,CASJ,1,CONTROL,YES,YES,YES,NO,0,0.000,1,1.000,1,1.000,5.4,2,5.76,-,no alarm vocalizations
21,MAINLAND,FOER,07/09/2025,SUMMER,"36°41'8""N, 121°47'12W",--,718,CASJ,2,HAWK,YES,YES,NO,NO,7,3.500,0,0.000,7,3.500,10,6,11.66,0.91,
22,MAINLAND,FOER,07/09/2025,SUMMER,"36°40'58""N, 121°47'18""W",--,739,CASJ,2,HAWK,YES,YES,YES,NO,8,4.000,8,4.000,16,8.000,,,,,
23,MAINLAND,FOER,07/09/2025,SUMMER,"36°40'53""N, 121°47'12""W",--,802,CASJ,3,CONTROL,YES,YES,YES,NO,2,0.667,6,2.000,8,2.667,17,0,17.00,1.576,
23,MAINLAND,FOER,07/09/2025,SUMMER,"36°40'53""N, 121°47'12""W",--,802,CASJ,3,CONTROL,YES,YES,YES,NO,2,0.667,6,2.000,8,2.667,17,0,17.00,1.576,
61,ISLAND,HARBORBLVD,07/26/2025,SUMMER,"33°59'31""N, 119°41'25""W",--,1026,ISSJ,1,CONTROL,YES,YES,YES,YES,5,5.000,1,1.000,6,6.000,16,2,16.12,1.173,
62,ISLAND,HARBORBLVD,07/26/2025,SUMMER,"33°59'29""N,119°41'41""W",--,1036,ISSJ,2,HAWK,YES,YES,YES,NO,10,5.000,2,1.000,12,6.000,17.5,2,17.61,1.003,
63,ISLAND,HARBORBLVD,07/26/2025,SUMMER,"33°59'33""N, 119°41'55""W",--,1048,ISSJ,2,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,16.5,3,16.77,-,no alarm vocalizations
64,ISLAND,HARBORBLVD,07/26/2025,SUMMER,"33°59'40""N, 119°42'38""W",--,1100,ISSJ,5,HAWK,YES,YES,YES,YES,21,4.200,1,0.200,22,4.400,22.3,1,22.32,0.87,
138,ISLAND,HARBORBLVD,3/6/2026,WINTER,"33°59'38""N, 119°42'31""W",YES,707,ISSJ,2,HAWK,YES,YES,NO,NO,5,2.500,0,0.000,5,2.500,11.6,3,11.98,2.21,
139,ISLAND,HARBORBLVD,3/6/2026,WINTER,"33°59'36""N, 119°42'25""W",NO,713,ISSJ,1,CONTROL,NO,NO,NO,NO,0,0.000,0,0.000,0,0.000,30,4,30.27,NA,
140,ISLAND,HARBORBLVD,3/6/2026,WINTER,"33°59'30""N, 119°41'25""W",YES,816,ISSJ,2,HAWK,YES,YES,NO,NO,3,1.500,0,0.000,3,1.500,14.6,8,16.65,1.232,
141,ISLAND,HARBORBLVD,3/6/2026,WINTER,"33°59'30""N, 119°41'20""W",YES,825,ISSJ,2,CONTROL,YES,YES,NO,NO,13,6.500,0,0.000,13,6.500,19.5,2,19.60,4.692,
65,ISLAND,PRISONERS,07/26/2025,SUMMER,"34°0'57""N, 119°41'5""W",--,1245,ISSJ,1,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,15.3,0,15.30,-,no alarm vocalizations
