SAMPLE,SITE,SUBSITE,DATE,SEASON,PLAYBACK,START.TIME,SPECIES,GROUP.SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER.ALARM,NUMBER.MOB,HYPOTENUSE,LATENCY.ALARM
89,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,747,ISSJ,1,HAWK,1,1,1,1,1,13,15.05,2.724
90,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,800,ISSJ,2,CONTROL,1,0,0,0,0,0,33.06,NA
91,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,811,ISSJ,2,HAWK,1,1,0,1,2,0,22.6,3.074
92,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,818,ISSJ,3,CONTROL,1,1,0,0,5,0,13.28,1.092
93,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,820,ISSJ,3,HAWK,1,1,0,1,11,0,22.46,0.596
94,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,832,ISSJ,3,CONTROL,1,0,0,1,0,0,13.44,NA
95,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,838,ISSJ,5,HAWK,1,1,1,1,6,9,17.26,0.841
96,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,843,ISSJ,5,CONTROL,1,0,0,1,0,0,21.1,NA
97,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,920,ISSJ,2,HAWK,1,1,0,1,13,0,8.05,1.516
98,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,926,ISSJ,2,CONTROL,1,0,0,1,0,0,19.71,NA
99,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,945,ISSJ,6,HAWK,1,1,1,1,22,4,16.59,1.105
100,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,1008,ISSJ,1,CONTROL,1,0,0,1,0,0,19.42,NA
39,ISLAND,RIDGE,07/25/2025,SUMMER,NA,1020,ISSJ,1,CONTROL,0,0,0,1,0,0,17.36,NA
41,ISLAND,RIDGE,07/25/2025,SUMMER,NA,1040,ISSJ,1,CONTROL,1,0,0,0,0,0,19.04,NA
71,ISLAND,RIDGE,07/27/2025,SUMMER,NA,639,ISSJ,1,CONTROL,1,0,0,1,0,0,12.85,NA
72,ISLAND,RIDGE,07/27/2025,SUMMER,NA,648,ISSJ,3,CONTROL,1,0,0,1,0,0,15.83,NA
73,ISLAND,RIDGE,07/27/2025,SUMMER,NA,714,ISSJ,1,CONTROL,1,0,0,1,0,0,5.99,NA
74,ISLAND,RIDGE,07/27/2025,SUMMER,NA,728,ISSJ,3,HAWK,1,1,1,0,5,2,12.18,1.139
75,ISLAND,RIDGE,07/27/2025,SUMMER,NA,743,ISSJ,2,CONTROL,1,1,1,0,5,1,9.39,6.11
76,ISLAND,RIDGE,07/27/2025,SUMMER,NA,758,ISSJ,1,HAWK,1,1,0,0,1,0,26.07,3.084
77,ISLAND,RIDGE,07/27/2025,SUMMER,NA,818,ISSJ,3,CONTROL,1,1,0,1,4,0,12.84,1.306
78,ISLAND,RIDGE,07/27/2025,SUMMER,NA,836,ISSJ,1,HAWK,1,1,1,1,4,1,25.81,1.742
79,ISLAND,RIDGE,07/27/2025,SUMMER,NA,841,ISSJ,2,CONTROL,1,0,0,0,0,0,17.28,NA
80,ISLAND,RIDGE,07/27/2025,SUMMER,NA,915,ISSJ,1,HAWK,1,0,0,1,0,0,19.15,NA
81,ISLAND,RIDGE,07/27/2025,SUMMER,NA,932,ISSJ,3,CONTROL,1,0,0,1,0,0,16.01,NA
82,ISLAND,RIDGE,07/27/2025,SUMMER,NA,942,ISSJ,4,HAWK,1,1,0,0,21,0,17.19,0.66
84,ISLAND,RIDGE,07/27/2025,SUMMER,NA,1017,ISSJ,1,CONTROL,1,1,0,0,3,0,22.4,1.31
85,ISLAND,RIDGE,07/27/2025,SUMMER,NA,1050,ISSJ,2,HAWK,1,1,0,0,5,0,22.99,NA
86,ISLAND,RIDGE,07/27/2025,SUMMER,NA,1102,ISSJ,7,CONTROL,1,1,0,1,4,0,16.92,0.85
155,ISLAND,RIDGE,3/7/2026,WINTER,YES,838,ISSJ,1,CONTROL,1,0,0,1,0,0,14.17,NA
156,ISLAND,RIDGE,3/7/2026,WINTER,YES,903,ISSJ,1,HAWK,1,1,0,1,5,0,14.02,0.543
8,MAINLAND,SVR,07/03/2025,SUMMER,NA,715,CASJ,5,HAWK,1,1,1,0,12,179,12.71,0.694
9,MAINLAND,SVR,07/03/2025,SUMMER,NA,727,CASJ,2,HAWK,1,1,1,1,5,8,NA,NA
10,MAINLAND,SVR,07/03/2025,SUMMER,NA,758,CASJ,2,CONTROL,1,1,1,0,0,2,12.46,NA
11,MAINLAND,SVR,07/06/2025,SUMMER,NA,807,CASJ,2,HAWK,1,1,1,0,4,4,NA,NA
12,MAINLAND,SVR,07/06/2025,SUMMER,NA,823,CASJ,1,CONTROL,1,1,0,0,2,0,18.11,1.517
129,MAINLAND,UPPER,02/10/2026,WINTER,YES,736,CASJ,1,CONTROL,1,0,0,0,0,0,8.77,NA
130,MAINLAND,UPPER,02/10/2026,WINTER,YES,756,CASJ,2,HAWK,1,1,1,0,13,1,17.33,1.056
131,MAINLAND,UPPER,02/10/2026,WINTER,YES,833,CASJ,2,CONTROL,1,1,0,0,4,0,7.16,0.763
32,ISLAND,WASH,07/25/2025,SUMMER,NA,758,ISSJ,2,HAWK,1,0,0,0,0,0,6.99,NA
33,ISLAND,WASH,07/25/2025,SUMMER,NA,815,ISSJ,1,CONTROL,1,0,0,0,0,0,12.35,NA
34,ISLAND,WASH,07/25/2025,SUMMER,NA,836,ISSJ,2,HAWK,1,1,1,1,4,3,14.49,1.03
35,ISLAND,WASH,07/25/2025,SUMMER,NA,858,ISSJ,2,CONTROL,1,1,0,0,7,0,8.17,2.64
36,ISLAND,WASH,07/25/2025,SUMMER,NA,907,ISSJ,1,HAWK,1,1,0,1,2,0,14.87,1.382
37,ISLAND,WASH,07/25/2025,SUMMER,NA,929,ISSJ,1,CONTROL,1,0,0,1,0,0,11.28,NA
38,ISLAND,WASH,07/25/2025,SUMMER,NA,943,ISSJ,2,HAWK,1,1,1,1,8,11,11.4,0.857
42,ISLAND,WASH,07/25/2025,SUMMER,NA,1119,ISSJ,3,HAWK,1,1,0,1,13,0,11.56,0.714
148,ISLAND,WASH,3/7/2026,WINTER,NO,657,ISSJ,2,HAWK,1,0,0,0,0,0,18.5,NA
149,ISLAND,WASH,3/7/2026,WINTER,YES,712,ISSJ,3,CONTROL,1,0,0,0,0,0,21.78,NA
150,ISLAND,WASH,3/7/2026,WINTER,NO,723,ISSJ,2,HAWK,1,1,0,0,3,0,18.06,1.447
151,ISLAND,WASH,3/7/2026,WINTER,NO,727,ISSJ,1,HAWK,1,1,0,0,9,0,13.83,NA
152,ISLAND,WASH,3/7/2026,WINTER,NO,731,ISSJ,1,CONTROL,1,1,0,0,8,0,24.38,1.188
153,ISLAND,WASH,3/7/2026,WINTER,YES,738,ISSJ,2,HAWK,1,1,0,1,13,0,10.5,1.442
154,ISLAND,WASH,3/7/2026,WINTER,YES,750,ISSJ,2,CONTROL,1,1,0,1,4,0,16.98,1.407
157,ISLAND,WASH,3/7/2026,WINTER,NO,927,ISSJ,2,CONTROL,1,1,0,1,2,0,21.71,1.721
